"billing_log_recid","Open/Closed","Invoice","Ticket #","Company Name","Customer PO","Invoice Total","Date","Status","Invoice Type","Project / Phase","Sales Order #","Location","Department","Internal Notes","GL","Routed To","Down Payment Applied","Credit Amount","Paid Amount","Date Paid","Agreement Type","Bill To","Invoice Balance","Site","Invoice Delivery","Tax Code","Account ID","Due Date","Invoice Reference","Service Total","Expense Total","Product Total","Sales Tax","Unbatched","Billing Terms","Pending Application","Procurement Needed","Partner Name","Sales Rep.","Business Development?"
"32435","Closed","31933","","Immix Biopharma","Barracuda CORE","2400.00","12/31/2025 12:00 am","Closed - Emailed","Standard","","4993","Corporate","Sales","","N","ABrock","0.00","0.00","2400.00","01/02/2026 2:30 pm","","Immix Biopharma","0.00","Main","E-Mail","Avatax","Immix Biopharma","12/31/2025 12:00 am","Order #4993","0.00","0.00","2400.00","0.00","False","Due Upon Receipt","False","false","Barracuda","Marcello Moreira","true"
"32434","Closed","31932","","Futu US Inc","POTS - AvePoint Fly Migration (User) 3 Months","1207.50","12/30/2025 12:00 am","No Past Due Notices Sent","Standard","","4991","Corporate","Sales","Emily Wolf Tue 12/30/2025 2:21 PM UTC-05  No procurement necessary. Licenses have already been provisioned and cancellation date has been extended from 13 Dec, 2025 to 31 March, 2026. AvePoint has applied 50% off of one month of licenses.   ","N","EWolf","0.00","0.00","1207.50","01/09/2026 8:56 am","","Futu US Inc","0.00","Main","E-Mail","Avatax","Futu US Inc","12/30/2025 12:00 am","Order #4991","0.00","0.00","1207.50","0.00","False","Due Upon Receipt","False","false","AvePoint","Marcello Moreira","true"
"32432","Closed","31930","","Daigh Rick Landscape Architects, LLC","New Laptop - JAN 2026","2720.92","12/24/2025 12:00 am","Closed - Emailed","Standard","","4989","Corporate","Admin","","N","EWolf","0.00","0.00","2720.92","12/29/2025 8:47 am","","Daigh Rick Landscape Architects, LLC","0.00","Main","E-Mail","Avatax","Anne Daigh Landscape Architect","12/24/2025 12:00 am","Order #4989","0.00","0.00","2510.29","210.63","False","Due Upon Receipt","False","false","","","false"
"32433","Closed","31931","","Snap Creative","New User Setup - R. Lee","155.00","12/24/2025 12:00 am","No Past Due Notices Sent","Standard","","4990","Corporate","Admin","","N","EWolf","0.00","0.00","155.00","01/05/2026 9:27 am","","Snap Creative","0.00","New Main","E-Mail","Avatax","Snap Creative","12/24/2025 12:00 am","Order #4990","0.00","0.00","155.00","0.00","False","Due Upon Receipt","False","false","","","false"
"32431","Closed","31929","","Center for Interfaith Relations","Barracuda CORE","780.00","12/23/2025 12:00 am","Closed - Emailed","Standard","","4988","Corporate","Sales","","N","EWolf","0.00","0.00","780.00","01/05/2026 9:25 am","","Center for Interfaith Relations","0.00","Main","E-Mail","Avatax","Center for Interfaith Relations","12/23/2025 12:00 am","Order #4988","0.00","0.00","780.00","0.00","False","Due Upon Receipt","False","false","Barracuda","Marcello Moreira","true"
"32430","Closed","31928","","Fagen Friedman & Fulfrost LLP","AvePoint","925.00","12/23/2025 12:00 am","Closed - Emailed","Standard","","4987","Corporate","Sales","","N","EWolf","0.00","0.00","925.00","01/02/2026 10:37 am","","Fagen Friedman & Fulfrost LLP","0.00","Main","E-Mail","Avatax","Fagen Friedman & Fulfrost LLP","12/23/2025 12:00 am","Order #4987","0.00","0.00","925.00","0.00","False","Due Upon Receipt","False","false","AvePoint","Marcello Moreira","true"
"32425","Closed","31906.1","","Albrecht Law","","37.44","12/22/2025 12:00 am","Closed - Emailed","Miscellaneous","","","Corporate","Sales","","N","WisePay","0.00","0.00","37.44","12/22/2025 1:26 pm","","Albrecht Law","0.00","Main","E-Mail","Avatax","Albrecht Law","12/22/2025 12:00 am","Online Processing Fee for 31906.1","0.00","0.00","37.44","0.00","False","Due Upon Receipt","False","","","",""
"32426","Closed","31924","","AvePoint, Inc","AP - Ionis","7200.00","12/22/2025 12:00 am","Closed - Emailed","Standard","","4870","Corporate","Sales","","N","EWolf","0.00","0.00","7200.00","02/02/2026 9:58 am","","AvePoint, Inc","0.00","Main","E-Mail","Avatax","AvePoint","12/22/2025 12:00 am","Order #4870","0.00","0.00","7200.00","0.00","False","Due Upon Receipt","False","false","","","false"
"32427","Closed","31925","","AvePoint, Inc","POTS: AvePoint BCBS of Kansas City ","1800.00","12/22/2025 12:00 am","Closed - Emailed","Standard","","4843","Corporate","Managed Services","","N","EWolf","0.00","0.00","1800.00","02/02/2026 9:57 am","","AvePoint, Inc","0.00","Main","E-Mail","Avatax","AvePoint","12/22/2025 12:00 am","Order #4843","0.00","0.00","1800.00","0.00","False","Due Upon Receipt","False","false","","","false"
"32428","Closed","31926","","AvePoint, Inc","AP - Quick Start for Edwards Lifesciences","3600.00","12/22/2025 12:00 am","Closed - Emailed","Standard","","4789","Corporate","Sales","","N","EWolf","0.00","0.00","3600.00","02/02/2026 9:57 am","","AvePoint, Inc","0.00","Main","E-Mail","Avatax","AvePoint","12/22/2025 12:00 am","Order #4789","0.00","0.00","3600.00","0.00","False","Due Upon Receipt","False","false","","","false"
