Client,Total_Billed_2026,Months_Billed,Avg_Monthly_Billing,HD_Tickets,HD_Hours,ITMS_Tickets,ITMS_Hours,Bunzl_Tickets,Bunzl_Hours,Total_Tickets,Total_Hours
MCR Safety - Bunzl,171931.8,6.0,28655.3,5.0,1.5,4.0,1.5,575.0,869.0,584.0,872.0
Cool Pak - Bunzl,123702.85,6.0,20617.141666666666,7.0,5.0,9.0,22.0,336.0,595.0,352.0,622.0
Tingley Rubber - Bunzl,0.0,0.0,0.0,3.0,2.0,0.0,0.0,182.0,295.5,185.0,297.5
Autism Systems LLC,34876.5,6.0,5812.75,178.0,269.0,4.0,5.0,0.0,0.0,182.0,274.0
Cordova Safety - Bunzl,45217.45,6.0,7536.241666666666,4.0,2.5,3.0,0.5,174.0,207.0,181.0,210.0
Conejo Valley Services,20648.39,5.0,4129.678,158.0,208.5,11.0,15.5,0.0,0.0,169.0,224.0
PulseOne,0.0,0.0,0.0,26.0,2.5,138.0,6.0,1.0,0.5,165.0,9.0
Snap Creative,28197.58,6.0,4699.596666666667,115.0,183.0,10.0,11.0,0.0,0.0,125.0,194.0
Kishigo - Bunzl,38066.83,6.0,6344.471666666667,0.0,0.0,17.0,36.0,106.0,138.0,123.0,174.0
Autism Behavioral Health,7982.54,6.0,1330.4233333333334,122.0,143.5,0.0,0.0,0.0,0.0,122.0,143.5
Turning Point Foundation,27733.510000000002,6.0,4622.251666666667,92.0,115.5,9.0,31.0,0.0,0.0,101.0,146.5
Majestic Glove - Bunzl,0.0,0.0,0.0,0.0,0.0,3.0,3.5,84.0,174.5,87.0,178.0
Bunzl,152557.07,6.0,25426.178333333333,0.0,0.0,3.0,0.0,54.0,56.5,57.0,56.5
Secure Money Advisors,26525.92,6.0,4420.986666666667,45.0,90.0,8.0,19.5,0.0,0.0,53.0,109.5
Connecting Dot By Dot,4300.62,6.0,716.77,49.0,44.5,1.0,3.5,0.0,0.0,50.0,48.0
Kids Connections Developmental Therapy Center,7108.6,5.0,1421.72,49.0,67.0,0.0,0.0,0.0,0.0,49.0,67.0
SAS Safety Corp - Bunzl ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,63.5,44.0,63.5
CWS Investments Inc,7100.65,6.0,1183.4416666666666,42.0,83.5,0.0,0.0,0.0,0.0,42.0,83.5
Vinyl Works,14703.5,6.0,2450.5833333333335,39.0,55.5,0.0,0.0,0.0,0.0,39.0,55.5
Pelage Pharmaceuticals,5681.84,6.0,946.9733333333334,32.0,69.0,6.0,11.5,0.0,0.0,38.0,80.5
Virtus Financial Partners,4844.7,6.0,807.4499999999999,36.0,70.5,1.0,4.0,0.0,0.0,37.0,74.5
Teddy Bear Cancer Foundation,7424.400000000001,6.0,1237.4,31.0,35.5,2.0,7.0,0.0,0.0,33.0,42.5
P&D Electric Inc,9542.9,6.0,1590.4833333333333,23.0,49.0,8.0,12.0,0.0,0.0,31.0,61.0
Southland Stone USA Inc.,21696.77,6.0,3616.1283333333336,26.0,25.0,1.0,0.0,0.0,0.0,27.0,25.0
Encounter Life,12160.71,6.0,2026.7849999999999,25.0,53.5,1.0,10.0,0.0,0.0,26.0,63.5
Revco Industries - Bunzl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,38.5,26.0,38.5
The Sea Ranch Lodge,10400.36,4.0,2600.09,21.0,26.5,3.0,9.0,0.0,0.0,24.0,35.5
